"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"AGAP2"	139	92	147	68	86	17	16	6
"AGAP3"	3657	442	338	384	120	806	97	779
"AGAP4"	561	146	28	33	111	633	650	644
"AGAP5"	690	91	21	17	182	631	544	524
"AGAP6"	1814	125	64	36	232	1583	1357	1404
"AGAP7P"	68	0	3	0	19	23	62	46
"AGAP9"	596	18	21	40	158	1323	287	590
"AGBL1"	293	120	122	39	37	154	151	211
"AGBL2"	35	43	17	9	15	66	32	47
"AGBL3"	409	73	23	26	24	364	279	484
"AGBL4"	54	21	9	10	19	56	56	72
"AGBL5"	788	183	180	120	114	138	396	554
"AGER"	26	37	28	5	13	80	48	53
"AGFG1"	3676	483	677	482	1339	8995	7147	5439
"AGFG2"	551	271	147	103	70	176	118	288
"AGGF1"	805	295	181	167	236	1600	1996	1624
"AGGF1P1"	14	0	4	0	0	15	26	0
"AGGF1P10"	12	0	0	0	4	8	10	5
"AGGF1P2"	73	29	20	8	13	45	50	117
"AGGF1P3"	24	0	0	0	2	16	22	3
"AGGF1P4"	0	0	0	0	0	0	0	0
"AGGF1P5"	0	0	0	0	0	0	0	0
"AGGF1P6"	0	22	0	0	0	0	0	0
"AGGF1P7"	0	0	0	0	0	0	0	0
"AGGF1P8"	59	26	3	2	15	44	62	57
"AGGF1P9"	0	0	0	0	0	0	0	0
"AGK"	2408	351	213	100	518	2706	3099	2468
"AGKP1"	0	0	0	0	0	0	0	0
"AGKP2"	0	0	0	0	0	0	0	4
"AGL"	1324	247	122	130	332	1838	2442	2148
"AGMAT"	240	65	64	27	60	179	365	276
"AGMO"	168	31	24	25	16	187	78	259
"AGO1"	3688	1724	923	823	730	4043	3138	2732
"AGO2"	6445	1306	1313	899	1279	6290	4092	5770
"AGO3"	3966	639	437	447	885	4066	5120	4582
"AGO4"	2472	401	324	173	482	3420	2552	3721
"AGPAT1"	338	335	313	243	18	72	244	275
"AGPAT2"	830	267	192	163	124	414	105	700
"AGPAT3"	3558	322	379	345	773	3222	2865	1829
"AGPAT4"	4991	249	160	150	709	5741	1954	3004
"AGPAT5"	834	102	153	140	479	1223	2145	975
"AGPAT5P1"	0	0	0	0	0	0	0	0
"AGPS"	3249	549	704	583	1288	5789	5507	3925
"AGR2"	6	0	0	0	0	4	92	5
"AGR3"	0	0	0	0	0	0	1	0
"AGRN"	2222	1655	486	423	147	550	242	196
"AGRP"	20	0	0	0	11	0	1	11
"AGT"	173	137	60	11	143	444	190	68
"AGTPBP1"	1032	195	203	149	544	2584	3088	4577
"AGTR1"	749	71	80	67	27	405	223	774
"AGTR2"	0	0	0	0	0	0	0	8
"AGTRAP"	637	153	82	72	195	449	497	124
"AGXT"	51	29	20	23	6	52	64	70
"AGXT2"	0	1	0	1	2	0	0	0
"AHCTF1"	3724	1039	599	551	758	5051	5897	9494
"AHCTF1P1"	22	1	0	0	10	74	28	65
"AHCY"	668	224	236	167	137	847	1080	855
"AHCYL1"	3565	834	611	620	533	3865	2850	2668
"AHCYL2"	1804	194	119	176	408	1294	1446	1013
"AHCYP2"	4	0	0	0	0	10	2	0
"AHCYP3"	0	0	0	0	0	0	0	0
"AHCYP4"	0	0	0	0	2	0	0	0
"AHCYP5"	4	0	0	0	8	2	24	0
"AHCYP7"	11	0	0	0	3	3	0	0
"AHCYP8"	0	0	0	0	0	0	0	0
"AHDC1"	4876	1115	1114	745	133	590	258	1228
"AHI1"	5428	803	908	457	1213	7804	6705	6906
"AHNAK"	473866	173787	86810	120533	51215	323641	210257	285320
"AHNAK2"	14770	6891	3174	2099	794	11179	2183	18579
"AHR"	11152	1484	2273	1512	2928	15236	14294	8203
"AHRR"	56	26	71	29	8	92	55	41
"AHSA1"	962	233	211	284	113	510	714	301
"AHSA2P"	7154	789	454	214	393	3532	5264	5100
"AHSG"	0	15	13	0	1	0	0	0
"AHSP"	0	0	0	0	0	0	0	193
"AICDA"	133	59	55	23	13	66	165	105
"AIDA"	2973	746	1495	1012	776	4453	4118	3570
"AIDAP1"	68	0	0	0	0	103	60	59
"AIDAP2"	174	71	202	116	25	151	138	187
"AIDAP3"	2	0	0	0	2	0	0	0
"AIF1"	533	318	630	484	43	1190	1539	311
"AIF1L"	41	55	38	60	8	124	115	484
"AIFM1"	1356	189	168	166	255	1166	1252	1316
"AIFM1P1"	0	0	0	0	6	7	0	0
"AIFM2"	658	140	215	162	80	304	232	499
"AIFM3"	86	0	24	5	4	0	11	15
"AIG1"	1640	232	363	165	293	2793	1697	1755
"AIG1P1"	11	0	0	0	8	16	23	13
"AIM2"	45	52	1	5	46	61	836	408
"AIMP1"	1838	345	457	351	422	2582	2723	2213
"AIMP1P1"	19	0	0	0	0	9	2	30
"AIMP1P2"	0	0	0	0	0	0	0	21
"AIMP2"	148	33	50	58	34	294	171	115
"AIP"	559	270	350	252	45	119	216	214
"AIPL1"	20	3	23	29	9	32	52	22
"AIRE"	91	2	20	17	22	103	84	74
"AJAP1"	939	41	4	60	41	345	112	137
"AJM1"	249	279	219	68	9	13	42	68
"AJUBA"	228	115	69	20	8	57	58	97
"AK1"	2201	644	582	281	59	271	296	67
"AK2"	3231	558	645	423	703	4283	4679	3266
"AK2P2"	6	0	0	10	1	4	19	17
"AK3"	1419	478	443	355	603	2783	2520	1976
"AK3P2"	2	0	0	0	0	3	2	13
"AK3P3"	6	0	0	0	0	77	47	91
"AK3P4"	0	0	0	0	0	0	0	0
"AK3P5"	55	0	9	4	0	2	60	69
"AK4"	1632	111	282	182	193	1622	1263	1687
"AK4P1"	6	7	6	0	2	44	20	40
"AK4P2"	4	27	0	0	0	0	4	0
"AK4P3"	9	0	0	5	10	12	11	11
"AK4P4"	7	0	0	0	3	15	19	14
"AK4P5"	0	0	0	0	0	0	0	0
"AK4P6"	0	0	0	0	0	0	1	0
"AK5"	222	57	68	46	51	107	140	158
"AK6"	145	29	52	84	59	452	502	204
"AK6P1"	0	0	0	0	0	0	0	0
"AK6P2"	0	0	0	0	0	0	0	0
"AK7"	160	4	23	17	11	154	101	151
"AK8"	0	0	1	0	2	7	27	1
"AK9"	612	77	144	54	69	384	952	880
"AKAIN1"	0	0	5	0	0	0	0	0
"AKAP1"	2438	320	147	246	260	731	652	884
"AKAP10"	1750	249	182	162	426	2461	2978	2275
"AKAP11"	7347	1363	746	831	1615	8349	10066	5815
"AKAP12"	10606	3323	1705	3012	369	3105	1472	5925
"AKAP13"	32173	7059	5400	5540	6165	35374	27666	26770
"AKAP14"	1	0	0	2	0	0	2	0
"AKAP17A"	2750	957	733	475	301	1072	1085	1173
"AKAP17BP"	2	25	0	0	0	10	3	4
"AKAP3"	40	0	0	4	51	54	75	21
"AKAP4"	0	0	0	0	2	0	2	0
"AKAP5"	204	40	36	22	47	633	448	256
"AKAP6"	690	228	73	61	58	409	622	882
"AKAP7"	398	44	97	56	107	683	1048	736
"AKAP8"	2122	435	190	131	239	1601	1491	1464
"AKAP8L"	2898	554	618	498	467	1176	1042	1270
"AKAP8P1"	0	0	0	0	0	0	0	0
"AKAP9"	9327	1215	983	783	2138	11210	14890	11986
"AKIP1"	532	22	128	104	136	569	561	469
"AKIRIN1"	662	155	228	168	348	1201	1457	961
"AKIRIN1P1"	0	0	0	0	6	0	0	5
"AKIRIN1P2"	18	18	9	0	1	9	12	7
"AKIRIN2"	670	113	266	126	176	954	1028	837
"AKIRIN2P1"	0	0	0	0	0	0	0	0
"AKNA"	4784	492	404	356	1580	3388	5459	4363
"AKNAD1"	81	30	8	14	11	61	47	67
"AKR1A1"	1618	454	312	293	150	1536	2509	1338
"AKR1B1"	2667	232	334	372	411	828	1064	1572
"AKR1B10"	27	1	7	6	6	35	22	80
"AKR1B10P1"	6	0	0	0	0	2	6	4
"AKR1B10P2"	16	0	0	0	5	21	24	20
"AKR1B15"	1286	276	30	71	263	1459	1381	1546
"AKR1B1P1"	16	0	0	0	1	15	4	49
"AKR1B1P2"	1	0	0	0	0	2	0	2
"AKR1B1P3"	12	0	0	0	0	5	3	6
"AKR1B1P4"	0	0	0	0	1	0	0	0
"AKR1B1P5"	0	0	0	0	0	0	0	0
"AKR1B1P6"	0	0	0	0	0	0	0	0
"AKR1B1P7"	0	0	0	0	0	0	0	0
"AKR1B1P8"	0	0	0	0	0	0	0	0
"AKR1C1"	2340	2895	10517	7589	241	5435	2286	4457
"AKR1C2"	784	1570	5070	3091	202	3749	1333	4599
"AKR1C3"	363	257	374	121	92	1713	1129	1822
"AKR1C4"	23	0	0	0	4	53	67	55
"AKR1C5P"	4	0	5	0	1	11	17	23
"AKR1C6P"	63	18	0	0	3	40	12	22
"AKR1C7P"	14	0	7	4	1	39	10	115
"AKR1C8P"	14	26	0	0	2	19	32	31
"AKR1D1"	36	0	5	0	6	20	28	44
"AKR1D1P1"	5	0	0	0	2	0	5	11
"AKR1E2"	660	6	91	51	10	515	85	508
"AKR7A2"	653	182	123	113	115	141	80	422
"AKR7A2P1"	99	0	0	0	0	26	21	30
"AKR7A2P2"	5	0	0	0	4	0	0	0
"AKR7A3"	32	0	0	0	2	27	5	1
"AKR7L"	177	59	11	19	25	211	156	176
"AKT1"	4903	903	1002	697	335	2418	1547	2200
"AKT1S1"	363	213	153	143	50	151	279	108
"AKT2"	6562	1284	1036	827	1611	3897	3264	3683
"AKT3"	12571	4221	2942	2063	2207	15059	13109	14580
"AKTIP"	471	146	188	118	178	811	1245	688
"ALAD"	975	871	500	427	113	1079	825	402
"ALAS1"	607	42	104	94	2	67	218	183
"ALAS2"	7	25	3	0	245	190	30	5615
"ALB"	23	48	16	0	1	39	26	55
"ALCAM"	1358	48	206	147	690	2057	2456	1584
"ALDH16A1"	976	620	459	253	44	176	118	157
"ALDH18A1"	1919	264	290	240	631	2718	2604	1543
"ALDH1A1"	5343	487	613	784	89	3806	3155	2881
"ALDH1A2"	434	74	220	55	188	1111	1653	2210
"ALDH1A3"	3674	360	302	341	344	2042	3126	2141
"ALDH1B1"	587	40	95	59	145	693	1044	558
"ALDH1L1"	348	203	46	57	28	142	119	882
"ALDH1L2"	867	310	268	143	639	2723	1358	1782
"ALDH2"	5413	723	929	1326	671	4667	5486	4909
"ALDH3A1"	27	18	4	6	0	7	1	16
"ALDH3A2"	5361	937	777	759	587	4082	3021	4203
"ALDH3B1"	2458	552	407	219	130	478	514	385
"ALDH3B2"	1	7	0	0	0	1	0	5
"ALDH4A1"	178	40	48	27	41	105	69	259
"ALDH5A1"	429	53	104	69	114	480	807	444
"ALDH6A1"	1284	325	293	287	112	853	911	1454
"ALDH7A1"	1661	572	392	255	244	1666	1408	1388
"ALDH7A1P1"	57	0	0	0	3	3	6	24
"ALDH7A1P2"	1	0	0	0	1	9	14	8
"ALDH7A1P3"	0	0	0	0	0	0	0	0
"ALDH7A1P4"	0	0	0	0	0	0	1	0
"ALDH8A1"	147	135	49	43	297	252	218	223
"ALDH9A1"	1148	303	278	308	495	1212	1617	1725
"ALDOA"	9833	2586	1634	1538	717	5834	5490	4834
"ALDOAP1"	0	0	0	0	0	0	0	0
"ALDOAP2"	0	0	0	0	0	0	0	0
"ALDOB"	47	37	20	12	9	32	52	69
"ALDOC"	68	93	63	44	3	22	63	30
"ALG1"	1265	381	229	174	278	935	1265	1151
"ALG10"	310	26	26	47	162	130	85	567
"ALG10B"	1214	186	212	173	311	1632	1663	1488
"ALG11"	4529	872	574	545	516	4794	4912	4157
"ALG12"	1138	93	67	40	169	599	536	219
"ALG13"	2851	176	153	91	551	4379	4300	2757
"ALG14"	791	196	307	223	238	904	845	1097
"ALG1L"	79	0	7	0	15	65	66	83
"ALG1L10P"	6	0	0	0	0	3	0	5
"ALG1L11P"	17	0	0	0	4	2	8	0
"ALG1L12P"	13	0	4	0	0	0	10	0
"ALG1L13P"	405	77	38	26	70	325	335	504
"ALG1L14P"	1	0	0	0	0	0	0	0
"ALG1L15P"	0	0	0	0	0	0	0	0
"ALG1L2"	191	51	2	0	17	112	107	124
"ALG1L3P"	1	0	0	0	0	0	1	0
"ALG1L5P"	1	0	0	0	0	0	3	5
"ALG1L6P"	14	0	0	0	3	18	19	14
"ALG1L7P"	1	0	0	0	0	0	0	0
"ALG1L8P"	0	0	0	0	0	0	0	0
"ALG1L9P"	10	0	0	0	1	1	3	1
"ALG2"	962	60	56	72	204	416	381	1416
"ALG3"	94	64	28	39	28	40	17	15
"ALG3P1"	14	0	0	6	0	10	15	0
"ALG5"	968	284	186	95	418	1501	1857	1467
"ALG6"	407	73	34	33	124	1212	1586	812
"ALG8"	1242	433	325	141	212	1133	1271	1165
"ALG9"	1043	438	201	193	177	1234	1248	1887
"ALK"	534	47	17	3	11	202	65	104
"ALKAL1"	0	0	0	0	0	0	0	0
"ALKAL2"	18	0	3	3	4	60	64	42
"ALKBH1"	252	0	19	42	57	262	131	351
"ALKBH2"	374	301	167	61	48	356	287	398
"ALKBH3"	540	81	70	24	131	531	550	585
"ALKBH4"	95	92	64	76	32	215	142	177
"ALKBH5"	3718	763	664	649	306	1992	956	1501
"ALKBH6"	230	42	15	70	18	58	60	125
"ALKBH7"	201	319	185	95	22	29	87	146
"ALKBH8"	599	304	152	70	247	732	973	649
"ALLC"	0	0	0	1	0	0	1	16
"ALMS1"	4775	821	1027	918	1172	6268	6673	8880
"ALMS1P1"	151	65	25	11	32	157	201	243
"ALOX12"	385	16	14	0	49	166	207	167
"ALOX12B"	0	36	0	0	1	6	0	0
"ALOX12P1"	20	0	0	0	0	2	3	0
"ALOX12P2"	349	23	30	28	40	206	124	318
"ALOX15"	13	0	5	7	7	4	13	11
"ALOX15B"	6	30	0	0	6	9	5	7
"ALOX15P1"	219	30	30	12	59	161	410	186
"ALOX15P2"	0	0	0	0	0	0	0	0
"ALOX5"	2598	166	228	242	974	3097	4114	1975
"ALOX5AP"	1809	252	202	235	313	545	1945	743
"ALOXE3"	0	0	0	9	4	3	0	4
"ALOXE3P1"	0	0	1	0	0	3	0	1
"ALPG"	0	0	0	0	0	0	0	0
"ALPI"	0	0	2	0	1	0	3	0
"ALPK1"	2866	334	310	116	701	3516	4269	5281
"ALPK2"	24	41	0	1	24	586	367	77
"ALPK3"	1016	374	169	262	64	686	229	318
"ALPL"	22	16	3	1	70	569	334	861
"ALPP"	20	0	16	6	5	25	17	23
"ALS2"	3692	991	537	495	537	2594	2859	3384
"ALS2CL"	2249	94	147	94	150	703	821	1141
"ALX1"	0	0	0	0	0	6	9	63
"ALX3"	152	0	23	0	34	58	35	32
"ALX4"	44	24	12	15	2	36	20	0
"ALYREF"	423	177	136	134	19	16	384	17
"AMACR"	365	105	105	56	88	408	273	262
"AMBN"	0	0	0	0	2	6	0	0
"AMBP"	27	0	0	0	0	42	7	0
"AMBRA1"	2539	406	168	135	494	2204	2175	1778
"AMD1"	1953	630	782	656	1153	4901	4791	4132
"AMD1P1"	36	0	0	0	0	29	15	24
"AMD1P2"	0	7	0	0	0	3	4	0
"AMD1P3"	18	0	1	0	1	12	5	40
"AMD1P4"	98	44	24	13	20	99	128	97
"AMDHD1"	817	120	250	114	34	114	89	200
"AMDHD2"	2476	330	288	109	2	456	282	217
"AMELX"	90	0	3	0	7	52	21	8
"AMELY"	0	0	0	0	0	0	0	0
"AMER1"	1303	207	124	104	151	609	622	775
"AMER2"	78	24	9	2	34	152	153	170
"AMER3"	55	31	10	5	5	22	44	25
"AMFR"	4390	1381	806	680	654	3250	3349	3526
"AMH"	1	12	8	1	5	3	1	0
"AMHR2"	0	0	0	0	0	1	0	0
"AMIGO1"	196	38	29	51	35	63	9	179
"AMIGO2"	606	54	51	66	117	456	881	767
"AMIGO3"	0	50	48	19	10	0	11	48
"AMMECR1"	358	56	39	55	140	1402	1011	587
"AMMECR1L"	1304	346	303	220	195	1402	1359	966
"AMMECR1LP1"	2	0	0	0	0	0	0	24
"AMN"	0	21	8	4	3	13	0	4
"AMN1"	588	193	205	95	115	936	1181	847
"AMOT"	499	544	505	336	98	698	278	1207
"AMOTL1"	3894	1596	933	895	306	6737	2526	4543
"AMOTL2"	3597	960	674	769	104	2414	921	4241
"AMPD1"	7	0	0	0	44	21	30	22
"AMPD2"	2648	371	189	169	383	680	522	1170
"AMPD3"	918	87	124	129	297	931	1653	355
"AMPH"	89	314	153	86	46	428	92	624
"AMT"	251	206	54	48	237	562	211	233
"AMTN"	0	0	0	0	157	121	233	0
"AMY1A"	0	17	0	2	0	3	0	1
"AMY1B"	0	17	0	2	0	0	0	1
"AMY1C"	0	0	7	0	0	0	0	2
"AMY2A"	2	0	0	0	0	2	1	0
"AMY2B"	862	260	145	78	282	1173	1735	2071
"AMYP1"	0	0	0	4	0	0	0	0
"AMZ1"	1546	31	11	27	93	335	301	147
"AMZ2"	953	295	319	225	219	1700	1813	1243
"AMZ2P1"	180	9	56	61	73	214	104	157
"AMZ2P2"	40	0	0	0	9	18	0	17
"AMZ2P3"	0	0	0	0	0	0	0	0
"ANAPC1"	2701	473	272	231	940	4034	5560	3810
"ANAPC10"	411	99	48	42	90	972	808	633
"ANAPC10P1"	5	0	0	0	7	12	8	8
"ANAPC11"	215	58	171	80	1	195	170	178
"ANAPC13"	516	141	242	140	291	767	1049	1195
"ANAPC15"	367	388	197	190	104	454	534	331
"ANAPC15P1"	0	0	0	0	1	0	0	0
"ANAPC15P2"	0	0	0	0	0	0	0	0
"ANAPC16"	2040	480	543	527	388	1726	2547	1838
"ANAPC1P1"	11	1	3	2	7	52	41	18
"ANAPC1P2"	504	0	48	34	87	635	460	875
"ANAPC1P3"	0	31	0	0	0	0	0	0
"ANAPC1P4"	97	11	14	5	45	402	187	296
"ANAPC1P5"	0	0	0	0	0	2	0	0
"ANAPC1P6"	0	0	0	0	0	0	0	0
"ANAPC2"	2049	391	330	177	132	166	78	295
"ANAPC4"	2318	187	141	116	223	2123	2999	2077
"ANAPC5"	4934	649	422	347	995	5252	5336	5592
"ANAPC7"	1180	375	330	159	100	417	698	564
"ANG"	218	166	43	56	0	87	125	128
"ANGEL1"	2065	145	172	171	315	1939	992	925
"ANGEL2"	1645	188	219	190	591	3171	2999	1903
"ANGPT1"	265	147	68	103	123	423	736	1926
"ANGPT2"	1006	149	193	168	120	2027	1576	1447
"ANGPT4"	123	10	5	13	9	72	75	84
"ANGPTL1"	3460	1094	302	434	362	4833	4793	5481
"ANGPTL2"	14548	5852	3414	2098	2676	30905	11041	9533
"ANGPTL3"	83	0	5	8	15	147	146	28
"ANGPTL4"	878	624	470	191	43	37	7	164
"ANGPTL5"	496	521	554	439	72	350	432	1009
"ANGPTL6"	6	0	0	18	0	20	6	1
"ANGPTL7"	62	109	48	109	184	305	119	6831
"ANGPTL8"	2	0	0	3	3	17	0	55
"ANHX"	0	0	0	0	0	0	0	0
"ANK1"	2391	23	112	178	92	146	92	329
"ANK2"	12338	3589	2830	2717	1617	13088	7163	15838
"ANK3"	12460	732	360	323	630	1876	4144	5239
"ANKAR"	833	82	145	90	121	935	1076	1313
"ANKDD1A"	1109	98	145	49	28	648	217	919
"ANKDD1B"	91	20	18	17	24	35	53	167
"ANKEF1"	328	79	26	47	90	576	637	205
"ANKFN1"	32	25	16	14	9	21	35	52
"ANKFY1"	5123	455	630	632	1039	5803	4309	3664
"ANKH"	27486	2046	1765	1392	2887	13209	8670	6731
"ANKHD1"	6715	1001	1008	803	1538	5667	7647	5990
"ANKHD1-EIF4EBP3"	1089	32	73	99	143	2094	1272	1606
"ANKIB1"	2446	805	569	590	630	4130	4252	3823
"ANKK1"	41	0	16	0	8	27	45	27
"ANKLE1"	1031	224	184	91	229	1191	1388	1266
"ANKLE2"	3628	955	826	762	471	2511	2549	2650
"ANKMY1"	1460	192	131	52	155	883	542	825
"ANKMY2"	1190	60	101	108	193	931	1038	1286
"ANKRA2"	362	134	63	39	69	375	516	117
"ANKRD1"	6	8	0	0	1	17	14	8
"ANKRD10"	7893	569	323	248	1206	7933	7748	7168
"ANKRD11"	11073	2270	1867	1499	1533	4141	2969	3126
"ANKRD11P1"	0	27	0	0	0	1	0	0
"ANKRD11P2"	0	0	0	0	0	0	0	0
"ANKRD12"	6946	1083	1453	1089	2304	9379	11112	11924
"ANKRD13A"	1458	552	491	324	574	2889	3809	3158
"ANKRD13B"	663	410	107	125	15	78	47	174
"ANKRD13C"	1244	113	310	183	148	1484	1543	1488
"ANKRD13D"	2233	367	267	153	268	702	408	940
"ANKRD16"	444	79	82	58	19	289	324	278
"ANKRD17"	6856	1551	1625	1160	2134	9419	9196	8151
"ANKRD18A"	49	22	4	0	22	89	151	114
"ANKRD18B"	43	37	0	5	3	105	194	200
"ANKRD18CP"	13	0	0	4	1	40	71	55
"ANKRD18DP"	46	48	0	8	18	128	137	33
"ANKRD18EP"	154	24	52	12	52	230	371	320
"ANKRD19P"	47	46	21	4	64	69	44	55
"ANKRD2"	10	20	3	11	0	9	0	14
"ANKRD20A1"	303	51	33	9	56	277	173	147
"ANKRD20A10P"	0	0	0	0	8	0	17	14
"ANKRD20A11P"	50	51	10	9	72	12	257	124
"ANKRD20A17P"	16	0	0	0	0	19	81	157
"ANKRD20A18P"	47	0	0	0	2	6	1	1
"ANKRD20A19P"	475	203	41	33	113	729	752	684
"ANKRD20A21P"	11	2	0	8	3	56	13	156
"ANKRD20A2P"	39	0	1	6	7	51	58	56
"ANKRD20A3P"	190	33	37	16	40	385	679	498
"ANKRD20A4P"	24	7	10	3	35	130	75	73
"ANKRD20A5P"	215	45	9	11	60	244	378	540
"ANKRD20A6P"	0	0	0	0	0	0	0	0
"ANKRD20A7P"	273	98	32	19	61	323	196	374
"ANKRD20A8P"	68	140	9	0	25	272	449	422
"ANKRD20A9P"	2	0	4	0	2	3	2	0
"ANKRD22"	68	0	31	17	55	101	164	68
"ANKRD23"	137	37	19	26	30	169	236	186
"ANKRD24"	68	81	15	7	3	13	14	8
"ANKRD26"	1905	293	154	103	318	1730	2082	2055
"ANKRD26P1"	20	27	0	0	0	2	3	0
"ANKRD26P2"	0	0	0	0	0	0	0	0
"ANKRD26P3"	0	0	0	0	1	8	19	2
"ANKRD26P4"	25	0	0	0	1	26	38	123
"ANKRD27"	1947	234	192	222	236	1050	909	1316
"ANKRD28"	3781	534	861	613	1296	10480	7643	8632
"ANKRD29"	397	93	59	35	32	455	337	751
"ANKRD30A"	4	0	0	0	0	0	0	25
"ANKRD30B"	158	72	106	58	183	188	253	258
"ANKRD30BL"	14169	38828	21018	8409	21	98	53	29
"ANKRD30BP1"	0	34	0	0	0	0	0	0
"ANKRD30BP2"	12	12	6	0	19	21	51	56
"ANKRD30BP3"	0	0	0	0	0	0	0	0
"ANKRD31"	20	86	0	7	13	0	51	23
"ANKRD33"	3	0	0	0	0	0	0	0
"ANKRD33B"	12	205	156	80	173	10	458	417
"ANKRD34A"	60	15	3	0	1	0	0	40
"ANKRD34B"	4	0	0	0	3	3	13	11
"ANKRD34C"	10	0	6	19	9	32	39	37
"ANKRD35"	54	228	179	118	15	50	25	68
"ANKRD36"	9387	254	283	179	1373	7119	12568	7536
"ANKRD36B"	2875	73	55	52	655	2030	5840	4184
"ANKRD36BP1"	0	0	0	0	0	0	0	0
"ANKRD36BP2"	1210	402	177	85	2265	2538	5840	6006
"ANKRD36C"	6635	144	118	99	857	4954	9371	9359
"ANKRD36P1"	0	0	0	0	0	0	0	0
"ANKRD37"	479	57	29	59	46	280	219	208
"ANKRD39"	434	205	89	46	99	234	280	148
"ANKRD40"	1397	443	515	500	203	2224	2008	1764
"ANKRD40CL"	267	61	67	80	35	113	207	307
"ANKRD42"	1021	190	154	89	125	465	581	643
"ANKRD44"	3222	100	216	88	1685	5809	13072	6338
"ANKRD45"	65	117	46	44	32	63	81	87
"ANKRD46"	786	122	200	96	102	565	927	771
"ANKRD49"	268	62	37	50	181	910	1447	245
"ANKRD49P1"	76	0	0	0	36	5	235	113
"ANKRD49P2"	51	0	14	11	20	40	89	60
"ANKRD49P3"	0	0	0	0	0	1	0	0
"ANKRD49P4"	0	0	0	0	0	0	0	0
"ANKRD50"	2943	828	809	384	685	4257	2880	3047
"ANKRD52"	2800	205	316	275	225	330	230	429
"ANKRD53"	90	46	25	28	0	3	13	32
"ANKRD54"	181	162	64	129	10	387	405	175
"ANKRD54P1"	0	0	0	0	0	0	0	0
"ANKRD55"	57	29	1	1	10	46	75	58
"ANKRD6"	707	160	199	113	129	737	602	771
"ANKRD60"	4	0	0	0	0	0	1	1
"ANKRD61"	61	0	9	6	38	86	83	6
"ANKRD62"	38	2	30	17	12	62	52	62
"ANKRD62P1"	27	0	0	7	0	23	8	9
"ANKRD63"	4	0	1	0	0	1	1	0
"ANKRD65"	3	41	82	54	23	4	7	5
"ANKRD66"	0	0	0	2	2	0	0	0
"ANKRD7"	24	4	3	2	7	42	33	62
"ANKRD9"	598	69	88	41	69	581	292	381
"ANKS1A"	2805	446	334	283	488	2348	1738	3100
"ANKS1B"	488	206	156	68	17	291	228	781
"ANKS3"	893	256	234	125	110	450	581	412
"ANKS4B"	225	61	25	21	26	171	128	174
"ANKS6"	1303	333	203	113	120	1075	876	952
"ANKUB1"	290	34	65	61	36	259	255	256
"ANKZF1"	1054	83	105	86	110	263	322	436
"ANLN"	217	62	13	1	104	561	844	203
"ANO1"	4997	580	182	176	224	2948	631	908
"ANO10"	873	151	90	80	206	1138	1071	1159
"ANO2"	315	43	42	11	26	483	133	957
"ANO3"	60	0	18	1	11	19	25	165
"ANO4"	33	44	0	0	3	31	0	4
"ANO5"	2013	197	104	135	71	485	376	325
"ANO6"	5381	1115	898	640	1734	11292	8119	9038
"ANO7"	139	50	26	8	11	28	56	84
"ANO7L1"	14	0	13	0	2	12	19	2
"ANO8"	206	385	474	466	27	125	125	40
"ANO9"	168	0	42	11	49	28	12	16
"ANOS1"	4213	83	16	83	251	451	1834	906
"ANOS2P"	511	98	15	19	104	758	379	646
"ANP32A"	3172	1832	1130	893	488	3468	3446	2471
"ANP32AP1"	32	0	11	0	3	6	24	9
"ANP32B"	1786	1735	1510	1380	210	674	388	711
"ANP32BP1"	0	0	0	0	0	0	2	22
"ANP32BP2"	3	0	0	0	0	1	0	0
"ANP32BP3"	11	0	0	0	0	7	3	36
"ANP32C"	0	0	6	0	0	0	0	0
"ANP32D"	11	8	15	0	0	0	0	20
"ANP32E"	798	789	496	522	196	182	320	577
"ANPEP"	13785	1280	571	587	871	5420	1918	2994
"ANTKMT"	252	73	138	89	17	45	68	43
"ANTXR1"	11189	16893	7729	7999	1416	15682	6542	9252
"ANTXR2"	7464	787	854	852	2120	10537	10171	7524
"ANTXRL"	1	9	0	0	0	2	6	2
"ANTXRLP1"	12	0	0	0	13	16	106	30
"ANXA1"	10434	3985	3389	3106	2112	28769	17772	13948
"ANXA10"	7	0	0	0	3	7	32	1
"ANXA11"	7736	1919	1327	1307	1251	7739	4809	7434
"ANXA13"	325	61	32	62	31	249	233	281
"ANXA2"	23099	8067	7463	6038	3487	27964	27028	19633
"ANXA2P1"	0	0	0	9	0	13	10	14
"ANXA2P2"	22	24	4	6	1	25	11	23
"ANXA2P3"	0	0	0	0	0	0	0	0
"ANXA2R"	446	0	108	111	93	442	561	374
"ANXA3"	136	37	13	22	14	90	75	446
"ANXA4"	4886	1374	1148	920	869	5905	4255	3381
"ANXA5"	11126	2332	2172	1834	1253	14885	10804	10428
"ANXA6"	7195	939	1065	955	855	4151	11170	6664
"ANXA7"	3433	558	656	614	565	4803	5434	3907
"ANXA8"	39	0	4	0	13	68	72	123
"ANXA8L1"	0	0	0	0	2	2	8	31
"ANXA9"	80	0	55	24	4	11	0	17
"AOAH"	982	15	31	125	598	2211	1844	2416
"AOC1"	117	25	32	33	2	19	38	29
"AOC2"	26	50	15	6	2	3	29	45
"AOC3"	1037	211	210	262	9	46	16	1620
